Date, Close/Last, Volume, Open, High, Low
11/28/2018, $233.6, 783222, $233.15, $236.71, $223.88
11/27/2018, $230.33, 502658, $229.12, $231.23, $225.09
11/26/2018, $229.98, 419269, $228.53, $233.22, $227.59
11/23/2018, $225.75, 532527, $230.44, $231.04, $221.02
11/21/2018, $233.58, 658676, $229.09, $239.47, $229.09
11/20/2018, $226.8, 798119, $226, $231.61, $225
11/19/2018, $233.28, 942770, $229.26, $238.97, $229.26
11/16/2018, $233.41, 836488, $229.83, $237.99, $229.16
11/15/2018, $231.39, 1754089, $228.5, $242, $228.5
11/14/2018, $219.71, 869533, $216.93, $221.37, $215.39
11/13/2018, $214.19, 834267, $216.67, $220.08, $212.58
11/12/2018, $212.58, 941781, $219.95, $219.95, $208.632
11/09/2018, $221.91, 1449890, $224, $224.995, $216.57
11/08/2018, $231.4, 950616, $232.69, $238.48, $229
11/07/2018, $235.05, 740016, $233.27, $237.55, $231.97
11/06/2018, $228.64, 506217, $227.35, $233.47, $225.36
11/05/2018, $226.29, 840697, $226, $232.88, $223.7
11/02/2018, $222.66, 778860, $225, $226.26, $218.86
11/01/2018, $220.62, 1087526, $212, $225.62, $210.06
10/31/2018, $207.85, 657065, $205.04, $209.23, $203.42
10/30/2018, $200.1, 593974, $197.17, $201.48, $192.03
10/29/2018, $197.11, 744508, $205.39, $205.39, $193.35
10/26/2018, $201.18, 1062320, $188.5, $205.52, $188.05
10/25/2018, $199.49, 902775, $195.01, $199.765, $194.01
10/24/2018, $193, 1256904, $205.41, $207.465, $192.89
10/23/2018, $210.94, 756254, $204.63, $212.67, $201.35
10/22/2018, $214.28, 869674, $217.91, $220.17, $212.19
10/19/2018, $210.17, 820171, $217.21, $219.41, $208.8
10/18/2018, $211.98, 827615, $217, $218.43, $210.16
10/17/2018, $221.01, 534224, $224.8, $225, $219.2
10/16/2018, $225.25, 694545, $220, $225.745, $219.22
10/15/2018, $217.94, 587225, $215.47, $219.45, $212.61
10/12/2018, $220.88, 1159022, $218.22, $222.37, $217.1
10/11/2018, $211.4, 1552814, $205.62, $212.87, $205
10/10/2018, $210.51, 1522131, $213.93, $214.88, $209.39
10/09/2018, $217.1, 633429, $215.95, $218.34, $212.53
10/08/2018, $216.81, 718348, $208.12, $218.73, $206.9412
10/05/2018, $215.51, 933485, $214.17, $217.45, $213.825
10/04/2018, $214.62, 882852, $218.31, $218.42, $212.54
10/03/2018, $222.65, 536519, $223.78, $225.08, $221.21
10/02/2018, $221.82, 2009558, $228.5, $229.09, $216.08
10/01/2018, $233.95, 1503623, $230.53, $237.48, $229.4027
